NPAFC Salmonid Catch Statistics 1925–2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Whole Country/Province/State,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,British Columbia,South Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.25,"6,988.41",988.41,142.19,598.05,319.98,"1,114.83",838.00,902.16,254.72,"2,485.11",15.76,23.09,14.26,"5,955.82",222.70,8.84,63.96,"5,063.95",31.86,178.18,11.00,"1,917.18",5.53,3.49,10.10,21.03,9.18
Canada,British Columbia,South Coast,Coho,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30,9.39,1.59,4.25,1.50,0.33,0.30,0.49,0.17,1.59,0.20,0.23,0.09,0.26,0.54,0.61,0.01,2.42,1.99,0.82,0.44,0.46,0.78,0.16,0.29,0.26,0.19,0.11
Canada,British Columbia,South Coast,Chinook,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,3.65,3.34,1.56,1.11,1.51,1.50,1.63,1.47,0.21,0.24,0.01,0.05,0.03,0.15,0.07,0.04,0.07,0.43,0.07,0.03,61.00,0.31,0.22,0.16,0.35,0.52,0.61
Canada,British Columbia,South Coast,Steelhead,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,West Coast Vancouver Island,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24,15.11,0.02,1.91,0.08,8.22,1.50,1.66,0.06,0.07,0.09,0.74,0.01,0.10,0.05,0.20,0.03,0.03,0.11,0.20,0.01,0.03,0.02,0.13,,0.36,0.01,0.03
Canada,British Columbia,West Coast Vancouver Island,Chum,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.81,"1,176.88",975.03,249.68,49.47,226.75,654.31,567.07,407.60,830.21,598.16,212.30,63.25,4.85,18.84,308.53,39.05,17.28,1.18,171.59,420.47,56.64,27.56,6.84,9.04,6.21,0.00,
Canada,British Columbia,West Coast Vancouver Island,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.96,93.57,117.89,112.89,63.94,147.90,675.93,434.82,226.21,21.13,120.91,0.46,0.00,24.96,737.95,426.28,195.49,29.88,424.95,876.65,572.95,30.45,41.50,9.93,13.49,78.80,213.41,183.98
Canada,British Columbia,West Coast Vancouver Island,Coho,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.18,0.28,0.26,0.43,0.26,0.08,1.09,6.67,4.06,6.07,4.83,6.25,5.33,0.91,1.22,1.05,2.46,7.31,35.56,6.52,4.33,1.13,4.31,3.29,0.01,0.15,0.10,0.04
Canada,British Columbia,West Coast Vancouver Island,Chinook,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,59.27,19.14,60.18,34.73,58.39,145.62,174.56,197.99,163.77,125.90,101.32,99.49,58.76,80.89,145.79,69.41,42.55,126.74,64.39,71.02,78.97,41.40,69.04,54.19,57.55,53.53,50.51
Canada,British Columbia,West Coast Vancouver Island,Steelhead,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Central Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.97,426.78,520.63,127.17,67.01,805.19,"1,033.27",617.84,328.44,607.29,58.14,218.23,6.03,126.86,1.36,3.23,18.44,489.70,41.62,748.09,125.48,744.92,48.48,10.07,21.49,,,
Canada,British Columbia,Central Coast,Chum,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.23,234.66,641.43,179.95,47.05,304.44,385.39,689.64,886.45,272.99,357.33,251.28,9.76,42.38,3.98,33.46,160.21,361.68,27.73,874.82,475.27,316.50,452.44,146.03,13.16,0.43,0.29,
Canada,British Columbia,Central Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63,31.55,22.39,6.01,2.56,2.40,5.79,19.18,4.98,1.09,1.19,0.37,0.26,1.07,0.30,45.21,0.51,2.32,2.53,1.83,76.92,0.77,3.56,0.25,0.20,,,
Canada,British Columbia,Central Coast,Coho,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62,8.86,,,,0.07,,0.53,37.26,15.73,4.65,0.01,,,,1.19,,,0.07,0.96,1.78,1.90,,0.65,,,,
Canada,British Columbia,Central Coast,Chinook,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,3.42,5.19,4.08,3.19,4.62,4.58,2.80,5.24,6.18,5.22,5.43,1.13,4.10,1.55,5.18,3.81,5.31,2.23,5.33,3.19,3.00,4.60,6.09,4.13,1.68,0.40,0.52
Canada,British Columbia,Central Coast,Steelhead,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,North Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,989.33","1,261.71","1,083.01","5,890.28","2,425.34","4,544.54","4,094.65","8,605.74","1,843.60","7,312.32",600.32,"6,254.59",179.18,"8,198.91",99.77,"1,247.17",463.64,"8,872.02","2,971.81",362.04,"1,599.18",831.50,122.15,61.53,"1,578.69",160.57,589.95,814.11
Canada,British Columbia,North Coast,Chum,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.15,257.26,795.02,266.64,157.32,269.39,464.20,730.25,620.72,375.77,175.45,45.45,17.76,78.69,26.40,319.95,221.16,239.97,233.17,276.87,97.41,77.31,46.96,21.17,1.77,13.95,19.70,51.80
Canada,British Columbia,North Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,764.73","1,740.75",281.45,439.55,"2,388.09","2,201.05","1,285.92","1,172.17",651.80,203.91,"1,243.01",639.89,737.94,167.90,142.23,480.24,652.85,152.67,658.41,223.49,156.46,38.61,120.60,22.34,26.42,2.85,725.30,272.38
Canada,British Columbia,North Coast,Coho,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.46,55.73,1.00,0.60,1.64,10.53,20.23,81.92,137.38,172.90,20.80,145.92,15.92,64.14,30.42,94.66,65.14,203.21,76.97,107.41,95.93,78.48,35.55,15.57,8.43,0.31,0.36,13.74
Canada,British Columbia,North Coast,Chinook,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57,35.98,10.30,13.72,22.85,29.55,16.21,16.29,12.47,5.33,10.33,9.29,5.75,3.85,2.87,3.69,2.03,2.68,3.20,3.22,1.69,1.93,0.51,0.47,0.54,0.48,0.89,0.62
