"region","species_name","cuid","cu_name_pse","cosewic_status","cosewic_status_yr","cosewic_source","wsp_status","wsp_status_yr","wsp_source","province_status","province_status_yr","province_source"
"Nass","River sockeye",427,"Upper Nass River (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Steelhead",480,"Nass Summer","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Steelhead",481,"Nass Winter","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",509,"Docee","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",510,"Rivers Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",511,"Wannock","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",512,"Bella Coola-Bentinck","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",513,"Dean River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",514,"North & Central Coast-Late","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chinook",515,"North & Central Coast-Early","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",500,"Smith Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",501,"Rivers Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",502,"Wannock","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",503,"Spiller-Fitz-Hugh-Burke","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",504,"Bella Coola-Dean Rivers","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",505,"Bella Coola River-Late","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",506,"Hecate Lowlands","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",507,"Mussel-Kynoch","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Chum",508,"Douglas-Gardner","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",516,"Smith Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",517,"Rivers Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",518,"Bella Coola-Dean Rivers","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",519,"Mussel-Kynoch","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",520,"Hecate Strait Mainland","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",522,"Douglas Channel-Kitimat Arm","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Coho",523,"Northern Coastal Streams","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",524,"Long","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",525,"Owikeno","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",527,"Wannock (Owikeno)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",528,"South Atnarko Lakes","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",529,"Backland","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",530,"Soda Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",532,"Canoona","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",533,"Dome","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",534,"Evelyn","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",535,"Kainet Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",536,"Kimsquit","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",537,"Kitkiata","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",538,"Kitlope","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",539,"Pine River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",540,"Banks","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",541,"Bloomfield","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",542,"Bolton Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",543,"Bonilla","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",544,"Borrowman Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",545,"Busey Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",546,"Cartwright Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",547,"Chic Chic","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",548,"Tuwartz","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",549,"Fannie Cove","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",550,"Curtis Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",551,"Dallain Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",552,"Deer","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",553,"Devon","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",554,"Douglas Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",555,"Elizabeth","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",556,"Elsie/Hoy","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",557,"End Hill Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",558,"Evinrude Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",559,"Freeda","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",560,"Hartley Bay","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",561,"Hevenor Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",562,"Higgins Lagoon","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",563,"Kadjusdis River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",564,"Kdelmashan Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",565,"Keecha","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",566,"Kent Inlet Lagoon Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",567,"Kenzuwash Creeks","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",568,"Keswar Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",569,"Kildidt Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",570,"Kildidt Lagoon Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",571,"Kisameet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",572,"Koeye","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",573,"Kooryet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",574,"Kunsoot River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",575,"Kwakwa Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",576,"Lewis Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",577,"Limestone Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",578,"Lowe/Simpson/Weir","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",579,"Mary Cove Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",580,"Mcdonald Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",581,"Mcloughlin","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",582,"Mikado","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",583,"Monckton Inlet Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",584,"Namu","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",585,"Port John","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",586,"Powles Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",587,"Price Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",588,"Roderick","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",589,"Ryan Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",590,"Salter","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",591,"Scoular/Kilpatrick","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",592,"Sheneeza Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",593,"Ship Point Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",594,"Spencer Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",595,"Stannard Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",596,"Talamoosa Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",597,"Tankeeah River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",598,"Treneman Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",599,"Tsimtack/Moore/Roger","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",600,"Tuno Creek East","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",601,"Tuno Creek West","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",602,"Tyler Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",603,"Wale Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",604,"Watt Bay","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",605,"West Creek","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",606,"Yaaklele Lagoon","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Lake sockeye",607,"Yeo","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Pink (even)",608,"Hecate Lowlands (even)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Pink (even)",609,"Hecate Strait-Fjords (even)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Pink (odd)",610,"Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Pink (odd)",611,"Hecate Strait-Lowlands (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Pink (odd)",612,"Hecate Strait-Fjords (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","River sockeye",613,"Rivers-Smith Inlets (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","River sockeye",614,"Northern Coastal Fjords (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","River sockeye",615,"Northern Coastal Streams (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Steelhead",680,"North Coast Winter","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Steelhead",681,"North Coast Summer","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Steelhead",682,"Central Coast Winter","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Central Coast","Steelhead",683,"Transition Summer","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Fraser","Chinook",302,"Boundary Bay (Fall 4-1)","Threatened","2018","https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments-status-reports/chinook-salmon-2020.html","-989898","-989898","-989898","-989898","-989898","-989898"
"Fraser","Chinook",303,"Lower Fraser River (Fall 4-1)","Threatened","2015","https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments-status-reports/chinook-salmon-2018.html","Green","2012","https://waves-vagues.dfo-mpo.gc.ca/Library/40595419.pdf","-989898","-989898","-989898"
